Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2002	51	Dee Brown, RB	CAR	102	360	3.5	24	2	4	25.7	4	20
2002	52	Jeff Garcia, QB	SF	73	353	4.8	21	1	3	22.1	2	30
2002	53	James Mungro, RB	IND	97	336	3.5	49	3	8	37.3	2	22
2002	54	Leon Johnson, RB	CHI	103	329	3.2	23	1	1	20.6	1	24
2002	55	Troy Hambrick, RB	DAL	79	317	4.0	18	0	1	19.8	1	16
2002	56	LaMont Jordan, RB	NYJ	84	316	3.8	61	1	3	22.6	4	17
2002	57	Ladell Betts, RB	WSH	65	307	4.7	27	4	1	27.9	1	13
2002	58	Tony Fisher, RB	GB	70	283	4.0	28	1	2	18.9	1	15
2002	58	Jake Plummer, QB	ARI	46	283	6.2	34	3	2	17.7	7	21
2002	60	David Carr, QB	HOU	59	282	4.8	20	1	3	17.6	13	16
2002	61	Kevin Faulk, RB	NE	52	271	5.2	45	2	2	18.1	0	8
2002	62	Aaron Brooks, QB	NO	62	253	4.1	21	1	2	15.8	3	21
2002	63	Robert Holcombe, FB	TEN	47	242	5.1	39	1	0	30.3	0	14
2002	64	Lamar Gordon, RB	STL	65	228	3.5	29	2	1	17.5	2	11
2002	65	Trent Green, QB	KC	31	225	7.3	24	2	1	14.1	1	11
2002	66	Mark Brunell, QB	JAX	43	207	4.8	27	2	0	13.8	2	11
2002	67	Matt Hasselbeck, QB	SEA	40	202	5.1	21	1	1	12.6	1	16
2002	68	Brian Westbrook, RB	PHI	46	193	4.2	18	0	0	12.9	1	11
2002	69	Kordell Stewart, QB	PIT	43	191	4.4	28	2	2	27.3	3	13
2002	70	Nick Goings, RB	CAR	50	188	3.8	20	1	0	13.4	2	10
2002	71	Najeh Davenport, RB	GB	39	184	4.7	43	1	1	23.0	1	8
2002	72	Travis Minor, RB	MIA	44	180	4.1	23	1	2	11.3	0	10
2002	73	Aaron Stecker, RB	TB	28	174	6.2	59	2	0	10.9	1	8
2002	74	Michael Wiley, RB	DAL	22	168	7.6	46	1	1	10.5	0	7
2002	75	Rich Gannon, QB	OAK	50	156	3.1	24	1	3	9.8	2	10
2002	76	Brandon Bennett, RB	CIN	33	155	4.7	29	2	0	12.9	0	10
2002	77	Maurice Morris, RB	SEA	32	153	4.8	24	1	0	13.9	0	6
2002	78	Peyton Manning, QB	IND	38	148	3.9	13	0	2	9.3	1	11
2002	79	Olandis Gary, RB	DEN	37	147	4.0	26	1	1	11.3	0	7
2002	80	Hines Ward, WR	PIT	12	142	11.8	39	3	0	8.9	0	6
2002	81	Cory Schlesinger, RB	DET	49	139	2.8	17	0	2	8.7	2	6
2002	81 	David Garrard, QB	JAX	25	139	5.6	41	1	2	34.8	1	9
2002	83	Antwaan Randle El, WR	PIT	19	134	7.1	24	1	0	8.4	0	10
2002	84	Drew Brees, QB	SD	38	130	3.4	15	0	1	8.1	0	10
2002	85	Brad Hoover, FB	CAR	31	129	4.2	11	0	0	8.1	0	7
2002	86	Terrell Fletcher, RB	SD	26	128	4.9	15	0	1	12.8	0	8
2002	87	Ray Lucas, QB	MIA	36	126	3.5	17	0	2	18.0	4	15
2002	87 	James Thrash, WR	PHI	18	126	7.0	32	3	2	7.9	0	8
2002	89	Johnnie Morton, WR	KC	10	124	12.4	36	2	0	8.9	0	5
2002	90	Chester Taylor, RB	BAL	33	122	3.7	17	0	0	8.1	0	4
2002	91	Bob Christian, FB	ATL	31	119	3.8	16	0	3	7.9	0	8
2002	92	Zack Crockett, RB	OAK	40	118	3.0	33	1	8	7.4	0	23
2002	93	Mike Cloud, RB	KC	49	115	2.3	9	0	2	8.2	0	9
2002	93 	Chris Fuamatu-Ma'afala, RB	PIT	23	115	5.0	17	0	0	14.4	0	5
2002	95	Tom Brady, QB	NE	42	110	2.6	15	0	1	6.9	6	20
2002	96	Tim Dwight, WR	SD	12	108	9.0	20	2	1	6.8	1	5
2002	97	Brian Griese, QB	DEN	37	107	2.9	13	0	1	8.2	1	11
2002	97 	Aveion Cason, RB	DET	26	107	4.1	40	1	0	10.7	0	3
2002	97 	Robert Edwards, RB	MIA	20	107	5.4	19	0	1	8.9	0	7
2002	100	Jeff Blake, QB	BAL	39	106	2.7	17	0	1	9.6	3	9
2002	101	Travis Taylor, WR	BAL	11	105	9.5	39	2	0	6.6	0	4
2002	102	Henry Burris, QB	CHI	15	104	6.9	17	0	0	17.3	1	8
2002	102	Dennis Northcutt, WR	CLE	8	104	13.0	36	2	1	8.0	0	4
2002	104	Adrian Peterson, RB	CHI	19	101	5.3	14	0	1	11.2	0	4
2002	105	Jay Fiedler, QB	MIA	28	99	3.5	12	0	3	9.0	1	12
2002	106	Mike McMahon, QB	DET	14	96	6.9	22	2	3	12.0	1	7
2002	102	Marc Edwards, FB	NE	31	96	3.1	17	0	0	6.0	0	11
2002	108	Randy Fasani, QB	CAR	18	95	5.3	19	0	0	23.8	0	6
2002	109	Mack Strong, FB	SEA	23	94	4.1	9	0	0	5.9	0	10
2002	110	Quincy Carter, QB	DAL	27	91	3.4	16	0	0	13.0	2	6
2002	111	Paul Smith, RB	SF	18	90	5.0	16	0	0	8.2	0	6
2002	112	Doug Chapman, RB	MIN	12	89	7.4	27	1	0	14.8	1	4
2002	113	Tony Richardson, FB	KC	22	81	3.7	14	0	2	5.8	1	6
2002	114	Terrell Owens, WR	SF	7	79	11.3	38	1	1	5.6	0	3
2002	115	Chris Chambers, WR	MIA	6	78	13.0	45	1	0	5.2	0	3
2002	116	Tim Couch, QB	CLE	23	77	3.3	14	0	0	5.5	2	9
2002	116	Derrius Thompson, WR	WSH	10	77	7.7	26	1	0	4.8	0	4
2002	118	Danny Wuerffel, QB	WSH	10	76	7.6	26	1	0	10.9	0	4
2002	119	Fred Beasley, RB	SF	26	75	2.9	9	0	0	4.7	0	15
2002	120	Chad Hutchinson, QB	DAL	18	74	4.1	18	0	0	8.2	0	3
