Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2006 	1	Chad Johnson, WR	CIN	87	151	1,369	15.7	7	74	16	85.6	1	313	66
2006 	2	Marvin Harrison, WR	IND	95	147	1,366	14.4	12	68	18	85.4	1	284	78
2006 	3	Reggie Wayne, WR	IND	86	137	1,310	15.2	9	51	18	81.9	1	189	72
2006 	3 	Roy Williams, WR	DET	82	152	1,310	16.0	7	60	24	81.9	2	309	66
2006 	5	Donald Driver, WR	GB	92	173	1,295	14.1	8	82	21	80.9	1	503	53
2006 	6	Lee Evans, WR	BUF	82	138	1,292	15.8	8	83	15	80.8	1	350	53
2006 	7	Anquan Boldin, WR	ARI	83	153	1,203	14.5	4	64	18	75.2	0	485	53
2006 	8	Torry Holt, WR	STL	93	178	1,188	12.8	10	67	14	74.3	2	270	67
2006 	9	Terrell Owens, WR	DAL	85	153	1,180	13.9	13	56	18	73.8	0	378	62
2006 	10	Steve Smith, WR	CAR	83	140	1,166	14.0	8	72	17	83.3	0	459	51 
2006 	11	Andre Johnson, WR	HOU	103	166	1,147	11.1	5	53	15	71.7	1	423	55
2006 	12	Isaac Bruce, WR	STL	74	125	1,098	14.8	3	45	23	68.6	0	278	54
2006 	12 	Laveranues Coles, WR	NYJ	91	152	1,098	12.1	6	58	12	68.6	1	285	52
2006 	14	Mike Furrey, WR	DET	98	143	1,086	11.1	6	31	9	67.9	1	259	54
2006 	15	Javon Walker, WR	DEN	69	125	1,084	15.7	8	83	16	67.8	0	339	53
2006 	16	T.J. Houshmandzadeh, WR	CIN	90	132	1,081	12.0	9	40	19	77.2	0	324	58
2006 	17	Joey Galloway, WR	TB	62	142	1,057	17.0	7	64	17	66.1	0	299	44
2006 	18	Terry Glenn, WR	DAL	70	112	1,047	15.0	6	54	14	69.8	0	266	47
2006 	19	Marques Colston, WR	NO	70	115	1,038	14.8	8	86	15	74.1	0	368	51
2006 	20	Plaxico Burress, WR	NYG	63	124	988	15.7	10	55	17	65.9	2	219	44 
2006 	21	Hines Ward, WR	PIT	74	125	975	13.2	6	70	13	69.6	2	349	50
2006 	22	Jerricho Cotchery, WR	NYJ	82	124	961	11.7	6	71	12	60.1	0	354	53
2006 	23	Darrell Jackson, WR	SEA	63	111	956	15.2	10	72	13	73.5	1	237	44
2006 	24	Larry Fitzgerald, WR	ARI	69	111	946	13.7	6	57	11	72.8	0	218	52
2006 	25	Mark Clayton, WR	BAL	67	113	939	14.0	5	87	11	58.7	0	357	42
2006 	26	Antonio Gates, TE	SD	71	118	924	13.0	9	57	14	57.8	0	312	49
2006 	27	Tony Gonzalez, TE	KC	73	104	900	12.3	5	57	9	60.0	1	287	54
2006 	28	Braylon Edwards, WR	CLE	61	125	884	14.5	6	75	13	55.3	0	316	38
2006 	29	Kellen Winslow, TE	CLE	89	120	875	9.8	3	40	11	54.7	1	337	42
2006 	30	Muhsin Muhammad, WR	CHI	60	116	863	14.4	5	40	16	53.9	1	168	45 
2006 	31	Eddie Kennison, WR	KC	53	102	860	16.2	5	51	15	53.8	0	155	41
2006 	32	Santonio Holmes, WR	PIT	49	86	824	16.8	2	67	12	51.5	0	340	41
2006 	33	Reggie Brown, WR	PHI	46	92	816	17.7	8	60	15	51.0	0	199	34
2006 	34	Keyshawn Johnson, WR	CAR	70	125	815	11.6	4	40	8	50.9	1	207	42
2006 	35	Steven Jackson, RB	STL	90	110	806	9.0	3	64	7	50.4	2	779	31
2006 	36	Santana Moss, WR	WSH	55	101	790	14.4	6	68	11	56.4	1	234	36
2006 	37	Alge Crumpler, TE	ATL	56	101	780	13.9	8	46	13	48.8	0	262	38
2006 	38	Bernard Berrian, WR	CHI	51	99	775	15.2	6	62	11	51.7	2	205	32
2006 	39	Todd Heap, TE	BAL	73	116	765	10.5	6	30	7	47.8	0	266	40
2006 	40	Reche Caldwell, WR	NE	61	103	760	12.5	4	62	11	47.5	1	202	41
