Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2006	1	LaDainian Tomlinson, RB	SD	348	1,815	5.2	85	12	28	113.4	2	81
2006	2	Larry Johnson, RB	KC	416	1,789	4.3	47	10	17	111.8	2	91
2006	3	Frank Gore, RB	SF	312	1,695	5.4	72	15	8	105.9	5	68
2006	4	Tiki Barber, RB	NYG	327	1,662	5.1	55	11	5	103.9	3	78
2006	5	Steven Jackson, RB	STL	346	1,528	4.4	59	9	13	95.5	2	74
2006	6	Willie Parker, RB	PIT	337	1,494	4.4	76	12	13	93.4	6	70
2006	7	Rudi Johnson, RB	CIN	341	1,309	3.8	22	5	12	81.8	6	67
2006	8	Brian Westbrook, RB	PHI	240	1,217	5.1	71	8	7	81.1	1	60
2006	9	Chester Taylor, RB	MIN	303	1,216	4.0	95	6	6	81.1	4	53
2006	10	Travis Henry, RB	TEN	270	1,211	4.5	70	9	7	86.5	3	48
2006	11	Thomas Jones, RB	CHI	296	1,210	4.1	30	4	6	75.6	1	61
2006	12	Edgerrin James, RB	ARI	337	1,159	3.4	18	0	6	72.4	3	59
2006	13	Ladell Betts, RB	WSH	245	1,154	4.7	26	6	4	72.1	4	59
2006	14	Fred Taylor, RB	JAX	231	1,146	5.0	76	6	5	76.4	2	46
2006	15	Warrick Dunn, RB	ATL	286	1,140	4.0	90	7	4	71.3	1	48
2006	16	Jamal Lewis, RB	BAL	314	1,132	3.6	52	3	9	70.8	4	46
2006	17	Julius Jones, RB	DAL	267	1,084	4.1	77	5	4	67.8	1	43
2006	18	Joseph Addai, RB	IND	226	1,081	4.8	41	3	7	67.6	2	66
2006	19	Ahman Green, RB	GB	266	1,059	4.0	70	3	5	75.6	2	55
2006	20	Deuce McAllister, RB	NO	244	1,057	4.3	57	6	10	70.5	2	54
2006	21	Michael Vick, QB	ATL	123	1,039	8.4	51	11	2	64.9	4	55
2006	22	Tatum Bell, RB	DEN	233	1,025	4.4	51	7	2	78.8	3	43
2006	23	Ronnie Brown, RB	MIA	241	1,008	4.2	47	6	5	77.5	4	49
2006	24	Willis McGahee, RB	BUF	259	990	3.8	57	4	6	70.7	4	48
2006	25	Maurice Jones-Drew, RB	JAX	166	941	5.7	74	7	13	58.8	1	46
2006	26	DeShaun Foster, RB	CAR	227	897	4.0	43	3	3	64.1	3	49
